# Rank    Emoji    Category    Subcategory    Name
# 465    👯    People & Body    person-activity    people with bunny ears
# 466    🍍    Food & Drink    food-fruit    pineapple
# 467    ⛽    Travel & Places    transport-ground    fuel pump
# 468    🏁    Flags    flag    chequered flag
# 469    👂    People & Body    body-parts    ear
# 470    🦊    Animals & Nature    animal-mammal    fox
# 471    👃    People & Body    body-parts    nose
# 472    🦖    Animals & Nature    animal-reptile    T-Rex
# 473    🐴    Animals & Nature    animal-mammal    horse face
# 474    ✉️    Objects    mail    envelope
# 475    🎃    Activities    event    jack-o-lantern
# 476    🌶️    Food & Drink    food-vegetable    hot pepper
# 477    🦠    Animals & Nature    animal-bug    microbe
# 478    🌕    Travel & Places    sky & weather    full moon
# 479    📦    Objects    mail    package
# 480    🌌    Travel & Places    sky & weather    milky way
# 481    ⛳    Activities    sport    flag in hole
# 482    🍧    Food & Drink    food-sweet    shaved ice
# 483    🍟    Food & Drink    food-prepared    french fries
# 484    ⚰️    Objects    other-object    coffin
# 485    🎹    Objects    musical-instrument    musical keyboard
# 486    🐿️    Animals & Nature    animal-mammal    chipmunk
# 487    🇲🇽    Flags    country-flag    flag: Mexico
# 488    🥞    Food & Drink    food-prepared    pancakes
# 489    2️⃣    Symbols    keycap    keycap: 2
# 490    👣    People & Body    person-symbol    footprints
# 491    🍽️    Food & Drink    dishware    fork and knife with plate
# 492    🥜    Food & Drink    food-vegetable    peanuts
# 493    🕳️    Smileys & Emotion    emotion    hole
# 494    🍡    Food & Drink    food-asian    dango
# 495    ⤵️    Symbols    arrow    right arrow curving down
# 496    🦷    People & Body    body-parts    tooth
# 497    🚴    People & Body    person-sport    person biking
# 498    🍝    Food & Drink    food-asian    spaghetti
# 499    🎻    Objects    musical-instrument    violin
# 500    🐊    Animals & Nature    animal-reptile    crocodile
# 501    🍖    Food & Drink    food-prepared    meat on bone
# 502    🐺    Animals & Nature    animal-mammal    wolf
# 503    🐽    Animals & Nature    animal-mammal    pig nose
# 504    🚮    Symbols    transport-sign    litter in bin sign
# 505    🍵    Food & Drink    drink    teacup without handle
# 506    🌭    Food & Drink    food-prepared    hot dog
# 507    🐄    Animals & Nature    animal-mammal    cow
# 508    ⬆️    Symbols    arrow    up arrow
# 509    🥁    Objects    musical-instrument    drum
# 510    🍳    Food & Drink    food-prepared    cooking
# 511    👫    People & Body    family    woman and man holding hands
# 512    ⌚    Travel & Places    time    watch
# 513    ♦️    Activities    game    diamond suit
# 514    🔆    Symbols    av-symbol    bright button
# 515    🐳    Animals & Nature    animal-marine    spouting whale
# 516    🌯    Food & Drink    food-prepared    burrito
# 517    🦴    People & Body    body-parts    bone
# 518    🥪    Food & Drink    food-prepared    sandwich
# 519    🦃    Animals & Nature    animal-bird    turkey
# 520    🎣    Activities    sport    fishing pole
# 521    🔻    Symbols    geometric    red triangle pointed down
# 522    🐀    Animals & Nature    animal-mammal    rat
# 523    🐬    Animals & Nature    animal-marine    dolphin
# 524    🍚    Food & Drink    food-asian    cooked rice
# 525    🤖    Smileys & Emotion    face-costume    robot
# 526    🐧    Animals & Nature    animal-bird    penguin
# 527    🦈    Animals & Nature    animal-marine    shark
# 528    🏄    People & Body    person-sport    person surfing
# 529    🏋️    People & Body    person-sport    person lifting weights
# 530    🏈    Activities    sport    american football
# 531    🧬    Objects    science    dna
# 532    🌐    Travel & Places    place-map    globe with meridians
# 533    🔍    Objects    light & video    magnifying glass tilted left
# 534    ☄️    Travel & Places    sky & weather    comet
# 535    📴    Symbols    av-symbol    mobile phone off
# 536    🥦    Food & Drink    food-vegetable    broccoli
# 537    🐯    Animals & Nature    animal-mammal    tiger face
# 538    🅰️    Symbols    alphanum    A button (blood type)
# 539    ♾️    Symbols    math    infinity
# 540    📮    Objects    mail    postbox
# 541    🥛    Food & Drink    drink    glass of milk
# 542    🥭    Food & Drink    food-fruit    mango
# 543    🖖    People & Body    hand-fingers-open    vulcan salute
# 544    🐛    Animals & Nature    animal-bug    bug
# 545    🦞    Food & Drink    food-marine    lobster
# 546    🇮🇹    Flags    country-flag    flag: Italy
# 547    🐤    Animals & Nature    animal-bird    baby chick
# 548    🧟    People & Body    person-fantasy    zombie
# 549    🍤    Food & Drink    food-asian    fried shrimp
# 550    🦐    Food & Drink    food-marine    shrimp
# 551    🎭    Activities    arts & crafts    performing arts
# 552    🐞    Animals & Nature    animal-bug    lady beetle
